Nom,Prix actuel,Variation des prix,Gamme de prix,Prix supplémentaires,Timestamp
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:41
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:44
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:47
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:49
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:52
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:56
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:56:58
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:57:01
sandro,"102,000","-137,472 (-57.41%)","PR: 23,500 - 450,000","103,000, 104,000, 104,000",2024-11-21 14:57:04
sandro,"100,000","-139,472 (-58.24%)","PR: 23,500 - 450,000","100,000, 100,000, 101,000",2024-11-21 14:57:07
